horizon,fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
osi_target_t01h,54031,Hardy County,4.802087876734033e-06,5.573614698807386e-05,4.148711815203665e-06,2,0
osi_target_t01h,54033,Harrison County,-2.2099385057895542e-05,-1.9662483570905692e-05,0.00011763278700030293,1,1
osi_target_t01h,54035,Jackson County,-2.147870181515906e-05,-1.1679429680431543e-05,2.2424912147642195e-05,1,1
osi_target_t01h,54037,Jefferson County,-2.606959220891481e-05,1.1020897224160026e-05,1.908305955689721e-05,2,0
osi_target_t01h,54039,Kanawha County,5.4478079730349875e-05,3.428112149798392e-05,-3.227897504522984e-05,1,1
osi_target_t01h,54041,Lewis County,2.7536643042055248e-05,0.00011026697269638647,-0.00011408131867118171,1,1
osi_target_t01h,54043,Lincoln County,0.00012407593314172315,6.127709459142344e-05,-5.5027534125446156e-05,1,1
osi_target_t01h,54045,Logan County,0.000374135740349257,-0.0001205829088645749,-0.00012609048318942828,0,2
osi_target_t01h,54047,McDowell County,-0.0001446630982625684,2.773874027843645e-05,1.5026895598298229e-06,2,0
osi_target_t01h,54053,Mason County,-1.9534695528379282e-05,3.386212368165466e-05,4.583451254344803e-05,2,0
osi_target_t01h,54055,Mercer County,1.4018041345035225e-05,-6.17651167386722e-06,5.4926109321959534e-06,1,1
osi_target_t01h,54057,Mineral County,-1.9371636166860633e-05,-4.426141196527209e-07,1.4559057428087602e-05,1,1
osi_target_t01h,54059,Mingo County,0.0003769661262384323,0.00020922436648540543,0.000418748954496069,2,0
osi_target_t01h,54063,Monroe County,-8.566559922188475e-06,-1.4753345512027354e-05,1.4384027335938515e-05,1,1
osi_target_t01h,54067,Nicholas County,5.520207424817604e-05,9.596230169830414e-06,-5.149972038655595e-06,1,1
osi_target_t01h,54069,Ohio County,0.0004272740838452173,8.599440030477093e-05,-0.000504510382654982,1,1
osi_target_t01h,54071,Pendleton County,-9.464750964388244e-05,-0.00044073395859840075,-0.0002930218949894689,0,2
osi_target_t01h,54073,Pleasants County,8.97050637229703e-06,-0.0002100319732026264,-0.00012879374427653785,0,2
osi_target_t01h,54075,Pocahontas County,0.0001634036866845455,-0.00020299667387614455,-0.00011567123868775134,0,2
osi_target_t01h,54077,Preston County,7.666643121918056e-06,1.1039042108407487e-05,-2.1430412511301393e-06,1,1
osi_target_t01h,54079,Putnam County,8.17598971557563e-07,-5.719267349289656e-06,1.618281220165641e-06,1,1
osi_target_t01h,54081,Raleigh County,2.1327614450386426e-05,-7.743175337070272e-06,-1.7014486005620822e-07,0,2
osi_target_t01h,54083,Randolph County,0.00035336777988951434,0.0006954753501632015,0.0006947302727200594,2,0
osi_target_t01h,54085,Ritchie County,-0.0008077358344828478,0.0005245360063061456,-0.0009668554575899754,1,1
osi_target_t01h,54087,Roane County,-0.00033909712698418186,0.0002966783666492265,2.0188727886538346e-05,2,0
osi_target_t01h,54089,Summers County,8.537005685369577e-06,7.881309836829838e-05,-3.4524776571387894e-05,1,1
osi_target_t01h,54091,Taylor County,-0.0006016943953143332,-0.0001646776183433082,0.0010533466860218966,1,1
osi_target_t01h,54093,Tucker County,-3.771840081906886e-05,4.036779743388382e-05,6.46131870342126e-05,2,0
osi_target_t01h,54095,Tyler County,4.660235721040684e-05,-0.00014216518706324302,0.00025648487614712487,1,1
osi_target_t01h,54097,Upshur County,-3.827315074425726e-06,-1.532679701384958e-05,5.123840310608313e-06,1,1
osi_target_t01h,54099,Wayne County,-0.0002329697000443727,-0.0003085647385342692,0.000553622511445015,1,1
osi_target_t01h,54101,Webster County,-0.0001551775627906364,0.00018888305906599855,-0.0004020119137196432,1,1
osi_target_t01h,54103,Wetzel County,0.0009891376144342753,-0.000639437878769411,-8.277135481815807e-05,0,2
osi_target_t01h,54105,Wirt County,-0.00020906912081160214,-3.9069549869960845e-05,-6.467560304002692e-05,0,2
osi_target_t01h,54107,Wood County,3.2004374817007917e-06,3.867943045311799e-06,9.891805860165481e-06,2,0
osi_target_t01h,54109,Wyoming County,0.0002634443110430835,2.594936028052844e-05,-9.529999610215917e-05,1,1
osi_target_t06h,18009,Blackford County,0.00022811950778730845,-0.0002201310198246308,0.00014983728336474648,1,1
osi_target_t06h,18013,Brown County,-0.00022893733098776348,0.0010979117881368267,0.0001098260616435448,2,0
osi_target_t06h,18023,Clinton County,-2.5945217142836572e-05,-9.681018735509012e-06,1.5253346841215916e-05,1,1
osi_target_t06h,18025,Crawford County,3.5137680325807163e-05,-7.384377225409453e-05,-3.208098605120627e-05,0,2
osi_target_t06h,18027,Daviess County,-7.056343005674504e-06,-2.227531959423019e-05,-4.493015294768955e-05,0,2
osi_target_t06h,18029,Dearborn County,2.2974151301272767e-06,1.3096265480551752e-05,1.2764659014714071e-07,2,0
osi_target_t06h,18033,DeKalb County,-2.2565455782423303e-05,2.9735696279221697e-06,-2.011305904503881e-06,1,1
osi_target_t06h,18035,Delaware County,-2.8005979980837907e-05,-5.4796787449902344e-05,-2.7128823237780424e-05,0,2
osi_target_t06h,18037,Dubois County,3.859154291297232e-05,8.947986281232501e-07,1.2469225875017236e-05,2,0
osi_target_t06h,18039,Elkhart County,-7.205765972875117e-06,-7.738933176920122e-06,2.3911967939306718e-05,1,1
osi_target_t06h,18041,Fayette County,1.5871768506231943e-05,3.959426917481482e-05,1.8031796080721692e-05,2,0
osi_target_t06h,18043,Floyd County,7.811559466269573e-06,-1.4403008942471944e-06,6.075704997163321e-07,1,1
osi_target_t06h,18045,Fountain County,4.5464557247786594e-05,0.00011450472824233175,6.906080977415411e-06,2,0
osi_target_t06h,18047,Franklin County,3.439419962465609e-05,1.2145686864464041e-05,1.0731215920767746e-06,2,0
osi_target_t06h,18051,Gibson County,-2.352157989134369e-06,3.3849761102795663e-06,1.3311424234608606e-07,2,0
osi_target_t06h,18059,Hancock County,5.798021394991547e-06,3.0070767339545517e-06,-1.252912099161831e-06,1,1
osi_target_t06h,18061,Harrison County,-4.425347579636342e-05,-1.4742973138204447e-05,1.3726040078495573e-05,1,1
osi_target_t06h,18065,Henry County,1.382931546348165e-06,1.5717399806354092e-05,5.665691573053999e-06,2,0
osi_target_t06h,18067,Howard County,8.700697746946912e-06,-7.902033723690459e-07,-7.860372546201946e-07,0,2
osi_target_t06h,18069,Huntington County,9.229798275009167e-06,4.07552021845225e-06,1.1989168190963472e-05,2,0
osi_target_t06h,18071,Jackson County,6.486846040744529e-05,-0.00011801524499027195,7.236992516267571e-05,1,1
osi_target_t06h,18073,Jasper County,-9.382201953721052e-05,-1.792670867619686e-05,-2.134988253223646e-05,0,2
osi_target_t06h,18077,Jefferson County,-0.00012384686225527363,1.6112150865630302e-05,-5.517552508891351e-05,1,1
osi_target_t06h,18083,Knox County,-4.008075482256454e-05,6.8155515901598e-06,-3.8358103177632075e-05,1,1
osi_target_t06h,18085,Kosciusko County,-0.0004702007717453257,-8.018287426091869e-06,1.2722541346731823e-05,1,1
osi_target_t06h,18087,LaGrange County,1.0190759640156316e-05,-2.3603057634608265e-05,-2.655561030797467e-05,0,2
osi_target_t06h,18089,Lake County,-7.062037053218542e-05,-2.552139644982905e-05,-5.721516126625317e-05,0,2
osi_target_t06h,18091,LaPorte County,1.1412455702381787e-05,-2.8035342999752555e-06,2.949241605638411e-06,1,1
osi_target_t06h,18093,Lawrence County,-3.2562034400652334e-06,-2.7606137597507505e-05,0.0001916862126300177,1,1
osi_target_t06h,18095,Madison County,-5.9528665979077864e-06,-1.5103727527756173e-06,-1.0690904334904753e-06,0,2
osi_target_t06h,18097,Marion County,1.0162300189555615e-06,4.942573291767107e-07,-1.923598323994301e-06,1,1
osi_target_t06h,18099,Marshall County,-3.2426542251988433e-06,-8.762334480480471e-06,-2.7213208075409223e-06,0,2
osi_target_t06h,18101,Martin County,-6.1188277816637965e-06,3.255117827774675e-05,-2.621714355352349e-05,1,1
osi_target_t06h,18103,Miami County,0.00013564283896451011,-7.383616371049381e-06,6.90503630089304e-05,1,1
osi_target_t06h,18105,Monroe County,-6.62944727152111e-06,-1.4518982054545363e-06,-9.934709220206397e-06,0,2
osi_target_t06h,18107,Montgomery County,7.032173754769927e-06,3.541648774830461e-06,-3.773270814548283e-06,1,1
osi_target_t06h,18109,Morgan County,0.00013444155579897055,6.624418900387594e-05,2.262952308731015e-05,2,0
osi_target_t06h,18111,Newton County,0.0001231666592911053,-5.711087240764089e-05,2.001872138085556e-05,1,1
osi_target_t06h,18113,Noble County,1.5218855580242859e-05,5.443232873008795e-06,-4.23226974368321e-06,1,1
osi_target_t06h,18117,Orange County,4.512262204259959e-06,-7.426948114636761e-06,-0.0001637593681755034,0,2
