case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,39143,Sandusky County,OH,1,143,0.001128122385939221,0.0006493151726895457,0.0001819903968249797,0.0003652997216214791,0.001128122385939221,0.0,0.0,0.0
B0,osi_target_t01h,39145,Scioto County,OH,4,143,0.0013757520439651896,0.0008190080530457568,0.00027065519716583874,0.0005874933292804531,0.0013757520439651896,0.0,0.0,0.0
B0,osi_target_t01h,39147,Seneca County,OH,0,143,0.0015340527343210872,0.0008527298513601507,0.0003365244442099546,0.0003536733680358018,0.0015340527343210872,0.0,0.0,0.0
B0,osi_target_t01h,39149,Shelby County,OH,1,143,0.027258112946023552,0.015366705182147179,0.10624967515707928,0.014520445358977698,0.027258112946023552,0.0,0.0,0.0
B0,osi_target_t01h,39151,Stark County,OH,4,143,0.002715005476123262,0.0015231899408068629,0.0010540894271592399,-0.0006627862197793121,0.002715005476123262,0.0,0.0,0.0
B0,osi_target_t01h,39153,Summit County,OH,4,143,0.0029254701984839392,0.0016994648247247138,0.0012238477511571251,0.000977733767629032,0.0029254701984839392,0.0,0.0,0.0
B0,osi_target_t01h,39155,Trumbull County,OH,3,143,0.004778605557174564,0.0022999325348066328,0.003265415163161527,0.0013996824195451488,0.004778605557174564,0.0,0.0,0.0
B0,osi_target_t01h,39157,Tuscarawas County,OH,3,143,0.020647724590537382,0.013996317454307036,0.06096497989963555,-0.013872201404253583,0.020647724590537382,0.0,0.0,0.0
B0,osi_target_t01h,39159,Union County,OH,3,143,0.0032086608713126114,0.0021149245573681462,0.0014722571559542428,0.0017654266401044667,0.0032086608713126114,0.0,0.0,0.0
B0,osi_target_t01h,39161,Van Wert County,OH,4,143,0.005637092263171637,0.003122921756825087,0.004544083713241862,-0.0006092648413253678,0.005637092263171637,0.0,0.0,0.0
B0,osi_target_t01h,39163,Vinton County,OH,4,143,0.0031166810395927198,0.002161484741046432,0.0013890592004656161,0.0006801536668108905,0.0031166810395927198,0.0,0.0,0.0
B0,osi_target_t01h,39165,Warren County,OH,0,143,0.001117180190717531,0.0005887639578899661,0.0001784770957300272,0.00026848423761024586,0.001117180190717531,0.0,0.0,0.0
B0,osi_target_t01h,39167,Washington County,OH,1,143,0.003162107838521383,0.0012046387078628218,0.0014298464154886873,-0.0005312537266067043,0.003162107838521383,0.0,0.0,0.0
B0,osi_target_t01h,39169,Wayne County,OH,3,143,0.006711491928556605,0.00317088495338268,0.006441309718712505,-0.0027800341241652022,0.006711491928556605,0.0,0.0,0.0
B0,osi_target_t01h,39171,Williams County,OH,3,143,0.00972102792729044,0.005820390058483728,0.01351326890673198,0.005791019429113099,0.00972102792729044,0.0,0.0,0.0
B0,osi_target_t01h,39173,Wood County,OH,2,143,0.008165022161266739,0.006084092149838624,0.009533464925838704,0.006084092149838624,0.008165022161266739,0.0,0.0,0.0
B0,osi_target_t01h,39175,Wyandot County,OH,3,143,0.0026154430569369537,0.00150595884336771,0.0009781975609233996,0.00022541143317433658,0.0026154430569369537,0.0,0.0,0.0
B0,osi_target_t01h,42005,Armstrong County,PA,3,143,0.01333006050265327,0.0077821138457040175,0.025409743359628728,-0.007652293392303549,0.01333006050265327,0.0,0.0,0.0
B0,osi_target_t01h,42007,Beaver County,PA,0,143,0.009023666090004337,0.0058457902611289015,0.011643996607656864,-0.00573522986344275,0.009023666090004337,0.0,0.0,0.0
B0,osi_target_t01h,42009,Bedford County,PA,2,143,0.01077237332952004,0.006488280607295474,0.01659429588252932,0.0005152667987748852,0.01077237332952004,0.0,0.0,0.0
B0,osi_target_t01h,42013,Blair County,PA,0,143,0.0015634762133680345,0.0011172632039098056,0.00034955747537677355,0.0009983536901852685,0.0015634762133680345,0.0,0.0,0.0
B0,osi_target_t01h,42015,Bradford County,PA,2,143,0.003496005489788984,0.002124373786611355,0.001747753777002764,-0.0005546427453443067,0.003496005489788984,0.0,0.0,0.0
B0,osi_target_t01h,42019,Butler County,PA,2,143,0.005767957108331058,0.0025827976675831216,0.00475751407610719,0.0017376873724275325,0.005767957108331058,0.0,0.0,0.0
B0,osi_target_t01h,42021,Cambria County,PA,0,143,0.012202245842142643,0.005549742397053288,0.0212919569136685,0.004596569682488517,0.012202245842142643,0.0,0.0,0.0
B0,osi_target_t01h,42023,Cameron County,PA,1,143,0.012147246598796554,0.007456499535583495,0.021100450790272347,0.005031358413237763,0.012147246598796554,0.0,0.0,0.0
B0,osi_target_t01h,42025,Carbon County,PA,3,143,0.0014352914866209861,0.0008760198158212697,0.00029458881617403534,0.0007181349127331914,0.0014352914866209861,0.0,0.0,0.0
B0,osi_target_t01h,42027,Centre County,PA,4,143,0.0015854031746170363,0.0009788698659958766,0.00035943096133026614,1.237653872177022e-05,0.0015854031746170363,0.0,0.0,0.0
B0,osi_target_t01h,42029,Chester County,PA,4,143,0.009533584975202392,0.004459469068715289,0.012997161674554884,-0.003714904850244664,0.009533584975202392,0.0,0.0,0.0
