horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t01h,v1.8_rule,0.015796981008485887,0.003823243061489669,6864,3,0.015796981008485887,0.0,False
osi_target_t01h,lgbm_direct,0.016136740602161116,0.003986596635134533,6864,3,0.015796981008485887,2.1507881378898697,False
osi_target_t01h,xgboost_direct,0.016366215373644803,0.004173804066654056,6864,3,0.015796981008485887,3.6034376749148,False
osi_target_t01h,catboost_direct,0.016550952960542955,0.003925356591373092,6864,3,0.015796981008485887,4.772886361337303,False
osi_target_t01h,xgboost_component,0.016447821955753703,0.004069096375680707,6864,3,0.015796981008485887,4.120033738840312,False
osi_target_t01h,catboost_component,0.016220812168440284,0.003916946029828388,6864,3,0.015796981008485887,2.6829883490188555,False
osi_target_t01h,simple_average,0.01607198062816693,0.003832612432063913,6864,3,0.015796981008485887,1.7408365530940273,False
osi_target_t01h,static_convex,0.015897833645551532,0.0038166157364883844,6864,3,0.015796981008485887,0.6384298177700476,False
osi_target_t01h,safe_convex,0.0158900483315797,0.0038146050524078354,6864,3,0.015796981008485887,0.5891462618320631,False
osi_target_t01h,v1.8_rule,0.010816713121384675,0.0031640663767522376,6864,4,0.010816713121384675,0.0,False
osi_target_t01h,lgbm_direct,0.011170562285658898,0.003350820073388493,6864,4,0.010816713121384675,3.2713187481570705,False
osi_target_t01h,xgboost_direct,0.01139071927665916,0.003116439808120195,6864,4,0.010816713121384675,5.306659692579552,False
osi_target_t01h,catboost_direct,0.012228308376867818,0.0032411441703778087,6864,4,0.010816713121384675,13.050131214929017,False
osi_target_t01h,xgboost_component,0.01133769880830866,0.0031350335014383285,6864,4,0.010816713121384675,4.8164879763150426,False
osi_target_t01h,catboost_component,0.01271192738662927,0.0031963353650176474,6864,4,0.010816713121384675,17.521166032385118,False
osi_target_t01h,simple_average,0.01138631556672993,0.0030513855687456294,6864,4,0.010816713121384675,5.265947603058341,False
osi_target_t01h,static_convex,0.011519712505841665,0.0030922447501932856,6864,4,0.010816713121384675,6.499195980959849,False
osi_target_t01h,safe_convex,0.011491116834723382,0.003092122061355366,6864,4,0.010816713121384675,6.234830357157284,False
osi_target_t06h,v1.8_rule,0.006391079868926069,0.002547593902723483,6624,0,0.006391079868926069,0.0,False
osi_target_t06h,lgbm_direct,0.006529433148236702,0.002649356683160755,6624,0,0.006391079868926069,2.1647872057321216,False
osi_target_t06h,xgboost_direct,0.006970587453138137,0.002601433983783551,6624,0,0.006391079868926069,9.067443939007536,False
osi_target_t06h,catboost_direct,0.006429726919685651,0.002440811835877071,6624,0,0.006391079868926069,0.6047029852887187,False
osi_target_t06h,xgboost_component,0.007035801288005561,0.002603338838467178,6624,0,0.006391079868926069,10.087832295981425,False
osi_target_t06h,catboost_component,0.006484916626011312,0.0025071626723272484,6624,0,0.006391079868926069,1.4682457270090543,False
osi_target_t06h,simple_average,0.006348921715472568,0.0024187140664055327,6624,0,0.006391079868926069,-0.6596405352165546,True
osi_target_t06h,static_convex,0.006278991485985938,0.002458440324596197,6624,0,0.006391079868926069,-1.7538254135285203,True
osi_target_t06h,safe_convex,0.00628239094076495,0.0024609284758199844,6624,0,0.006391079868926069,-1.7006347970954572,True
osi_target_t06h,v1.8_rule,0.009842708287427995,0.0036942997724429536,6486,1,0.009842708287427995,0.0,False
osi_target_t06h,lgbm_direct,0.010116678439245042,0.00403628527441689,6486,1,0.009842708287427995,2.783483405344711,False
osi_target_t06h,xgboost_direct,0.00938014480173547,0.0031496488047286653,6486,1,0.009842708287427995,-4.699554961751263,True
osi_target_t06h,catboost_direct,0.009122538356505056,0.0031780556927567412,6486,1,0.009842708287427995,-7.316786293898458,True
osi_target_t06h,xgboost_component,0.009278915649834333,0.003035510470004914,6486,1,0.009842708287427995,-5.728023437551122,True
osi_target_t06h,catboost_component,0.00918661582605791,0.003156518930021336,6486,1,0.009842708287427995,-6.665771677985277,True
osi_target_t06h,simple_average,0.009167317094801687,0.0031151803632070807,6486,1,0.009842708287427995,-6.861843030428727,True
osi_target_t06h,static_convex,0.009744250459467661,0.003583285663284959,6486,1,0.009842708287427995,-1.0003123640887845,True
osi_target_t06h,safe_convex,0.009757435889671182,0.0035893065215897887,6486,1,0.009842708287427995,-0.8663509601897879,True
osi_target_t06h,v1.8_rule,0.012832778950453254,0.0039346099358838465,6624,2,0.012832778950453254,0.0,False
osi_target_t06h,lgbm_direct,0.013196947012427233,0.004088744442385513,6624,2,0.012832778950453254,2.83779579917971,False
osi_target_t06h,xgboost_direct,0.013403258442750771,0.004053997297018192,6624,2,0.012832778950453254,4.445486784274166,False
osi_target_t06h,catboost_direct,0.013067934750491264,0.004078245061633908,6624,2,0.012832778950453254,1.8324620173536532,False
osi_target_t06h,xgboost_component,0.01338699662204415,0.003982920148209517,6624,2,0.012832778950453254,4.318765824072135,False
osi_target_t06h,catboost_component,0.013026991874996183,0.0038693671671744473,6624,2,0.012832778950453254,1.5134128413867076,False
osi_target_t06h,simple_average,0.012965867120920578,0.003857731888910455,6624,2,0.012832778950453254,1.0370954801073973,False
osi_target_t06h,static_convex,0.012849423614882446,0.003875335245760744,6624,2,0.012832778950453254,0.12970428691601033,False
osi_target_t06h,safe_convex,0.012846490440916633,0.003876222884090641,6624,2,0.012832778950453254,0.10684739849660119,False
osi_target_t06h,v1.8_rule,0.012394881928140122,0.003438409401754992,6624,3,0.012394881928140122,0.0,False
osi_target_t06h,lgbm_direct,0.01291030434777477,0.003863075553207695,6624,3,0.012394881928140122,4.15834876542458,False
osi_target_t06h,xgboost_direct,0.012958825435125429,0.0036511566648658104,6624,3,0.012394881928140122,4.5498094314636806,False
osi_target_t06h,catboost_direct,0.013561298197318768,0.0040197857077698546,6624,3,0.012394881928140122,9.41046696484078,False
osi_target_t06h,xgboost_component,0.0129664208511418,0.0036580974996988968,6624,3,0.012394881928140122,4.611088079057146,False
osi_target_t06h,catboost_component,0.014015866493605368,0.0036307340379132655,6624,3,0.012394881928140122,13.077854027678338,False
osi_target_t06h,simple_average,0.012912415651825151,0.0035728825400662533,6624,3,0.012394881928140122,4.175382441603337,False
osi_target_t06h,static_convex,0.012696695268109494,0.0035808066628334498,6624,3,0.012394881928140122,2.4349835820877352,False
osi_target_t06h,safe_convex,0.012684148015306002,0.0035743678158287624,6624,3,0.012394881928140122,2.333754277313105,False
