domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18171,1,Warren County,143,0.0044893369323995135,0.00220068720664756,0.0028820428912426973,0.001577879767681907,0.004585796725730604,0.0022487273114864567,0.003007223020190178,0.001645792321831532,9.645979333109019e-05,2.148642322543015,-0.00012518012894748064,66,-0.002199429270036297
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18173,1,Warrick County,143,0.0012459453305111643,0.0005329699648780965,0.00022199030662702816,0.00028041974296511474,0.001273349983524276,0.000542891998827955,0.0002318630858174022,0.0002851003095849951,2.7404653013111653e-05,2.1995068597326473,-9.872779190374023e-06,34,-0.00017346586643175767
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18175,1,Washington County,143,0.003943752071513174,0.0012553509203824004,0.0022241047974237162,-4.463302459693943e-05,0.004012628346174323,0.0012809263335318154,0.0023024696329666003,-7.573096168528002e-05,6.887627466114869e-05,1.7464656350651753,-7.836483554288405e-05,32,-0.0013768791778998144
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18177,1,Wayne County,143,0.0016898675396010377,0.0008847260135743433,0.0004083582790998088,0.0007210896499379797,0.001744072836896803,0.0009144617769149095,0.0004349759786373806,0.0007550212174743501,5.420529729576536e-05,3.2076654545694527,-2.6617699537571796e-05,45,-0.00046767604376353575
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18179,1,Wells County,143,0.0046041360561671655,0.0013936283516142072,0.0030313238417888915,-0.0007650272410760663,0.004620159081825414,0.0014216100553520027,0.0030524594016164606,-0.0007732488796898379,1.602302565824852e-05,0.34801373075814546,-2.1135559827569102e-05,48,-0.0003713542182310906
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18181,1,White County,143,0.0018081935208423075,0.000748448274875274,0.0004675476246607024,0.00024958983342139015,0.0017848655361913928,0.0007427003921832042,0.0004555615324665817,0.00024618151272406334,-2.3327984650914693e-05,-1.2901265479619561,1.1986092194120736e-05,26,0.00021059701908569806
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18183,1,Whitley County,143,0.0027353781793446903,0.0006263424372551326,0.0010699680111170154,-0.0001175623329321173,0.0027286933226136536,0.0006355661429261291,0.0010647447165893166,-9.770384663452724e-05,-6.684856731036665e-06,-0.24438510117230638,5.223294527698834e-06,29,9.177388589415127e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,39017,1,Butler County,143,0.0008446344179587799,0.00030526818056112717,0.00010201724390008106,-6.235599432978154e-05,0.0008235530010873184,0.0002985255215714241,9.698825502078979e-05,-4.968575969926833e-05,-2.1081416871461555e-05,-2.4959220727008513,5.028988879291271e-06,23,8.835991329295451e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,39023,1,Clark County,143,0.0025837013476690284,0.0015581073089898007,0.0009545983095143857,0.0003281081102313172,0.0026040835399365717,0.001596955979804788,0.0009697189048645077,0.00045388389801455365,2.0382192267543245e-05,0.7888757067813446,-1.5120595350122043e-05,72,-0.0002656706002227078
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,39025,1,Clermont County,143,0.001787847423455893,0.0006030714149106551,0.00045708497256677605,-0.0003121707304872668,0.0017919055024774066,0.0005994665803754548,0.00045916232216265934,-0.00031925314017488155,4.058079021513651e-06,0.22698128309346366,-2.0773495958832894e-06,26,-3.6499271439484595e-05
