horizon,outer_fold,selection_type,allowed_folds,selected_alpha,alpha,n,rmse,mae,sse
osi_target_t48h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.5,18336,0.008168489448232157,0.0021193360085178074,1.2234552954607771
osi_target_t48h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,0.75,18336,0.008515504068462952,0.002170517232851175,1.3296132117256068
osi_target_t48h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.35,1.0,18336,0.009088534385407436,0.0022667025729360573,1.51458032058951
osi_target_t48h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.0,18336,0.008706066704817347,0.0022677099536475257,1.389788075186618
osi_target_t48h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.05,18336,0.008653374504594403,0.0022474250700376445,1.3730160048481923
osi_target_t48h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.1,18336,0.008604851996961623,0.0022287968272810105,1.35766121058397
osi_target_t48h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.2,18336,0.008521462691300113,0.002198122059469927,1.3314746248560936
osi_target_t48h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.35,18336,0.008432117943420985,0.002173765174200486,1.3037008401836703
osi_target_t48h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.5,18336,0.008385881476502531,0.0021648358532413508,1.2894426772174195
osi_target_t48h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,0.75,18336,0.008404512796130003,0.0021825073334124398,1.2951786767999787
osi_target_t48h,4,outer_train_inner_cv,"[0, 1, 2, 3]",0.5,1.0,18336,0.008535752450440496,0.0022309821377040563,1.3359439055984046
