model,horizon,target_day,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
E1_aligned,osi_target_t06h,2026-03-15,0.010593057835486207,0.004968106581283206,5736,0.6184855344810889,0.007054479605118394,0.13347403599068747,22.80334728033473
E1_aligned,osi_target_t06h,2026-03-16,0.009829742654036648,0.004385847244628992,5736,0.29818209290376896,0.004714616570525613,0.05035181003457039,8.403068340306834
E1_aligned,osi_target_t06h,2026-03-17,0.010345896054473905,0.0035289227202792294,5736,0.432061203545155,0.0031313240528968926,0.05579837781892648,34.571129707112966
E1_aligned,osi_target_t06h,2026-03-18,0.00540648685141701,0.0008478378980161329,5736,-0.008996345976046038,0.0005679485169268502,0.008000239242164493,69.90934449093444
E1_aligned,osi_target_t06h,2026-03-19,0.0010785892529468208,0.0003960266696450261,5736,-0.31869338347794374,0.00028612004350203173,0.004451929607997655,79.82914923291492
E1_aligned,osi_target_t24h,2026-03-15,0.010593057835486207,0.004968106581283206,5736,0.6184855344810889,0.007054479605118394,0.13347403599068747,22.80334728033473
E1_aligned,osi_target_t24h,2026-03-16,0.009829742654036648,0.004385847244628992,5736,0.29818209290376896,0.004714616570525613,0.05035181003457039,8.403068340306834
E1_aligned,osi_target_t24h,2026-03-17,0.010345896054473905,0.0035289227202792294,5736,0.432061203545155,0.0031313240528968926,0.05579837781892648,34.571129707112966
E1_aligned,osi_target_t24h,2026-03-18,0.00540648685141701,0.0008478378980161329,5736,-0.008996345976046038,0.0005679485169268502,0.008000239242164493,69.90934449093444
E1_aligned,osi_target_t24h,2026-03-19,0.0010785892529468208,0.0003960266696450261,5736,-0.31869338347794374,0.00028612004350203173,0.004451929607997655,79.82914923291492
E1_aligned,osi_target_t48h,2026-03-16,0.009829742654036648,0.004385847244628992,5736,0.29818209290376896,0.004714616570525613,0.05035181003457039,8.403068340306834
E1_aligned,osi_target_t48h,2026-03-17,0.010345896054473905,0.0035289227202792294,5736,0.432061203545155,0.0031313240528968926,0.05579837781892648,34.571129707112966
E1_aligned,osi_target_t48h,2026-03-18,0.00540648685141701,0.0008478378980161329,5736,-0.008996345976046038,0.0005679485169268502,0.008000239242164493,69.90934449093444
E1_aligned,osi_target_t48h,2026-03-19,0.0010785892529468208,0.0003960266696450261,5736,-0.31869338347794374,0.00028612004350203173,0.004451929607997655,79.82914923291492
E3_aligned,osi_target_t01h,2026-03-14,0.02183069567577314,0.0071598470418667935,5497,0.7921092389156393,0.019063054125261353,0.28441276668246857,32.072039294160454
E3_aligned,osi_target_t01h,2026-03-15,0.010542739990667635,0.004913682192853966,5736,0.6221013727754465,0.006941944054236077,0.13060398780968957,21.548117154811717
E3_aligned,osi_target_t01h,2026-03-16,0.009818227874211346,0.00432230270476714,5736,0.2998253801528592,0.004623200143064121,0.04638953259677371,8.49023709902371
E3_aligned,osi_target_t01h,2026-03-17,0.010459957165681951,0.003502069973512966,5736,0.41946938536902456,0.0030523668056700584,0.049214771784270535,33.716875871687584
E3_aligned,osi_target_t01h,2026-03-18,0.005420316376998205,0.0008878631826828785,5736,-0.014164873305037906,0.000602069880836589,0.0077247247792107746,66.3702928870293
E3_aligned,osi_target_t01h,2026-03-19,0.0011056586236190796,0.0004501594502184099,5736,-0.38571451118767897,0.00034702480425856906,0.004119495962052449,74.49442119944212
E3_aligned,osi_target_t06h,2026-03-14,0.01849788689786359,0.006672332785127686,4302,0.8054365813576856,0.016559688517129384,0.27330678533015684,33.37982333798234
E3_aligned,osi_target_t06h,2026-03-15,0.010542739990667635,0.004913682192853966,5736,0.6221013727754465,0.006941944054236077,0.13060398780968957,21.548117154811717
E3_aligned,osi_target_t06h,2026-03-16,0.009818227874211346,0.00432230270476714,5736,0.2998253801528592,0.004623200143064121,0.04638953259677371,8.49023709902371
E3_aligned,osi_target_t06h,2026-03-17,0.010459957165681951,0.003502069973512966,5736,0.41946938536902456,0.0030523668056700584,0.049214771784270535,33.716875871687584
E3_aligned,osi_target_t06h,2026-03-18,0.005420316376998205,0.0008878631826828785,5736,-0.014164873305037906,0.000602069880836589,0.0077247247792107746,66.3702928870293
E3_aligned,osi_target_t06h,2026-03-19,0.0011056586236190796,0.0004501594502184099,5736,-0.38571451118767897,0.00034702480425856906,0.004119495962052449,74.49442119944212
