model,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,family,mask,components_replaced
E3_subset_1010,osi_target_t01h,0.01190857143163205,0.0036807640398855207,34177,0.7265751500968826,0.005813581267764193,0.28952741144084404,44.53287298475583,E3,1010,P_t+D_t
E3_subset_1011,osi_target_t01h,0.011909168166831179,0.0037048549446948567,34177,0.7265477469241011,0.00585931286848322,0.2896511056883433,44.04131433420137,E3,1011,P_t+D_t+R_t
E3_subset_1100,osi_target_t01h,0.011866669733650238,0.0035039999304760055,34177,0.7284959193868255,0.0055632609376050374,0.2984520821790919,49.31094010591919,E3,1100,P_t+N_t
E3_subset_1101,osi_target_t01h,0.01186487439909392,0.0035251834204086327,34177,0.7285780660709519,0.005607327126249297,0.29857577642659117,48.83401117710741,E3,1101,P_t+N_t+R_t
E3_subset_1110,osi_target_t01h,0.011918136653006246,0.0036082010089746137,34177,0.7261357322214426,0.005686951422299271,0.2897209392682678,46.20943909646839,E3,1110,P_t+N_t+D_t
E3_subset_1111,osi_target_t01h,0.011917536237001983,0.0036320546533406993,34177,0.7261633251837047,0.0057323918257425836,0.28984463351576706,45.68276911373146,E3,1111,P_t+N_t+D_t+R_t
E3_subset_0000,osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,E3,0000,none
E3_subset_0001,osi_target_t06h,0.010514323202312392,0.0034118400342016456,32982,0.700230655461462,0.004874209698848012,0.2577917581175636,47.00139470013947,E3,0001,R_t
E3_subset_0010,osi_target_t06h,0.0104560058381291,0.003449734255598496,32982,0.703546756115667,0.004901894584856599,0.260954961823739,41.131526287065675,E3,0010,D_t
E3_subset_0011,osi_target_t06h,0.010456892975889545,0.0034721402226836973,32982,0.7034964489471741,0.0049475803561941185,0.2614251250130986,40.60396579952702,E3,0011,D_t+R_t
E3_subset_0100,osi_target_t06h,0.010526720121124088,0.003333107454765306,32982,0.6995233522982683,0.0047240642483159226,0.25742327493471223,49.46940755563641,E3,0100,N_t
E3_subset_0101,osi_target_t06h,0.010527367667105433,0.0033556001839423876,32982,0.6994863838165415,0.004770237258819411,0.25789343812407184,48.78115335637621,E3,0101,N_t+R_t
E3_subset_0110,osi_target_t06h,0.010469959387203385,0.003397796956525576,32982,0.7027549939299371,0.004803265566738727,0.2610566418302473,42.3443090170396,E3,0110,N_t+D_t
E3_subset_0111,osi_target_t06h,0.010469963279922547,0.0034228937456378646,32982,0.7027547728991759,0.004852541661046696,0.2615268050196069,41.3862106603602,E3,0111,N_t+D_t+R_t
E3_subset_1000,osi_target_t06h,0.010431361002815154,0.003358010082798622,32982,0.7049425914483365,0.004858279826410765,0.2625449995059635,46.834637074768054,E3,1000,P_t
E3_subset_1001,osi_target_t06h,0.010433449935331001,0.003382219732122276,32982,0.70482440615522,0.004904673458756703,0.2630151626953231,46.23127766660603,E3,1001,P_t+R_t
E3_subset_1010,osi_target_t06h,0.010456964911474695,0.0034598071605124,32982,0.7034923694888001,0.004942991479500305,0.2661783664014985,40.65854102237584,E3,1010,P_t+D_t
E3_subset_1011,osi_target_t06h,0.01045865804419875,0.0034824303663624975,32982,0.7033963440322607,0.00498755596484956,0.2666485295908581,40.25529076465951,E3,1011,P_t+D_t+R_t
E3_subset_1100,osi_target_t06h,0.010444113398290638,0.0033017037727837845,32982,0.7042207319106351,0.004755585061877552,0.2626466795124717,48.593172033230246,E3,1100,P_t+N_t
